position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
51,2025-03-01,2026-02-28,2401 WESTRIDGE ST LLC,2401 WESTRIDGE ST,100,0.154,29.681523,-95.414995
52,2025-03-01,2026-02-28,GREENWOOD FOREST APTS,12820 GREENWOOD FOREST DR,100,0.154,29.982718,-95.504137
53,2025-03-01,2026-02-28,METRO MIDTOWN,2350 BAGBY ST,99,0.154,29.750335,-95.378487
54,2025-03-01,2026-02-28,GATEWAY ON CULLEN,1901 CULLEN BLVD,97,0.154,29.734867,-95.340317
55,2025-03-01,2026-02-28,PARK WEST APARTMENTS,15155 RICHMOND AVE,96,0.154,29.730265,-95.654066
56,2025-03-01,2026-02-28,HUE ON GREENHOUSE,2411 GREENHOUSE RD,96,0.154,29.796157,-95.704845
57,2025-03-01,2026-02-28,WESTLAKE AT SUMMER COVE,715 FARM TO MARKET RD 1959,96,0.154,29.594386,-95.177719
58,2025-03-01,2026-02-28,DOMAIN JV LLC,3300 BAY ST,95,0.154,29.800167,-95.337355
59,2025-03-01,2026-02-28,PALAZZO AT CYPRESSWOOD,13801 NAPOLI DR,94,0.154,29.976107,-95.572423
60,2025-03-01,2026-02-28,ASPEN APARTMENTS,6150 W TIDWELL RD,93,0.154,29.852269,-95.480786
61,2025-03-01,2026-02-28,THE COMMONS AT HOLLYHOCK,5751 GREENHOUSE RD,93,0.154,29.855612,-95.705699
62,2025-03-01,2026-02-28,ADVENIR AT THE MED CENTER LLC,9955 BUFFALO SPEEDWAY,93,0.154,29.676126,-95.423375
63,2025-03-01,2026-02-28,"KATY 22631, LLC",22830 COLONIAL PKWY,92,0.154,29.794572,-95.767342
64,2025-03-01,2026-02-28,HIGHPOINT AT CYPRESSWOOD,13811 MANDOLIN DR,92,0.154,29.976429,-95.56957
65,2025-03-01,2026-02-28,9900 ON MEMORIAL,745 INTERNATIONAL BLVD,91,0.154,29.781628,-95.478494
66,2025-03-01,2026-02-28,"CYPRESS STATION TWO, LLC",2331 BAMMELWOOD DR,90,0.154,30.00078,-95.462523
67,2025-03-01,2026-02-28,"GHC WOODTRAIL, LLC",9900 RICHMOND AVE,89,0.154,29.729985,-95.544832
68,2025-03-01,2026-02-28,RAAMCO THE LODGE AT WEST OAKS,14917 RICHMOND AVE,89,0.154,29.728771,-95.649903
