position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,DOROTHY DAY HOUSING LIMITED PARTNERSHIP,235 5TH ST W,34,0.29
2,2020-03-15,352 WACOUTA LLC,352 WACOUTA ST,26,0.29
3,2020-03-15,"PROJECT FOR PRIDE IN LIVING, INC.",769 UNIVERSITY AVE W,10,0.29
4,2020-03-15,DOROTHY DAY HOUSING LIMITED PARTNERSHIP,215 OLD 6TH ST W,10,0.29
5,2020-03-15,"ESA MANAGEMENT, LLC",7956 LYNDALE AVE S,10,0.29
6,2020-03-15,"HOOK & LADDER APARTMENTS, LP",652 24TH AVE NE,9,0.29
7,2020-03-15,LORING TOWERS PRESERVATION L.P.,15 GRANT ST E,8,0.29
8,2020-03-15,"AEON BP, LLC",5817 73RD AVE N,8,0.29
9,2020-03-15,"ESA MANAGEMENT, LLC",7965 LYNDALE AVE S,8,0.29
10,2020-03-15,545 SNELLING LLC,545 SNELLING AVE N,8,0.29
1,2021-07-18,352 WACOUTA LLC,352 WACOUTA ST,8,0.452
2,2021-07-18,MIDLAND TERRACE APARTEMENTS,3551 OWASSO ST,6,0.452
3,2021-07-18,STERLING GEORGETOWN LLC,2343 LARPENTEUR AVE E,6,0.452
4,2021-07-18,ST PAUL LEASED HOUSING V LP,1619 MARYLAND AVE E,4,0.452
5,2021-07-18,"ESSO APARTMENTS, LLC",683 SHERBURNE AVE,4,0.452
6,2021-07-18,DOROTHY DAY HOUSING LIMITED PARTNERSHIP,215 OLD 6TH ST W,4,0.452
7,2021-07-18,DOROTHY DAY HOUSING LIMITED PARTNERSHIP,235 5TH ST W,4,0.452
8,2021-07-18,"TEALWOOD ASSOCIATES, LLC",9915 BRIAR RD,4,0.452
9,2021-07-18,BMW HOLDINGS LLC,5209 XERXES AVE N,4,0.452
10,2021-07-18,"8411 BALBOA, LLC",3601 47TH AVE N,4,0.452
