position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,NA,1712 PINECROFT DR,244,0.473
2,2020-03-15,NA,65 CENTURY CIR,234,0.473
3,2020-03-15,NA,741 WOODRUFF RD,188,0.473
4,2020-03-15,NA,1 LAKESIDE RD,172,0.473
5,2020-03-15,NA,782 E BUTLER RD,133,0.473
6,2020-03-15,NA,299 MILLER RD,121,0.473
7,2020-03-15,NA,1201 CEDAR LANE RD,120,0.473
8,2020-03-15,NA,100 CALEDON CT,116,0.473
9,2020-03-15,NA,110 VILLAGE PARK DR,115,0.473
10,2020-03-15,NA,410 SULPHUR SPRINGS RD,111,0.473
1,2021-07-11,NA,741 WOODRUFF RD,44,0.551
2,2021-07-11,NA,1712 PINECROFT DR,31,0.551
3,2021-07-11,NA,782 E BUTLER RD,25,0.551
4,2021-07-11,NA,831 CLEVELAND ST,23,0.551
5,2021-07-11,NA,4001 PELHAM RD,21,0.551
6,2021-07-11,NA,299 MILLER RD,19,0.551
7,2021-07-11,NA,15 VILLA RD,18,0.551
8,2021-07-11,NA,2900 E NORTH ST,17,0.551
9,2021-07-11,NA,288 OLD MILL RD,17,0.551
10,2021-07-11,NA,1105 ARBOR CREST CT,15,0.551
