position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,NA,7802 RIVER RESORT LN,248,0.252
2,2020-03-15,NA,6603 S RIVERCHASE DR,214,0.252
3,2020-03-15,NA,5906 SANTA FE RIVER DR,188,0.252
4,2020-03-15,NA,2103 W COOL SPRINGS RD,178,0.252
5,2020-03-15,NA,301 PALM KEY CIR,170,0.252
6,2020-03-15,NA,1265 SAND LAKE CIR,154,0.252
7,2020-03-15,NA,15453 PLANTATION OAKS DR,144,0.252
8,2020-03-15,NA,12736 N 17TH ST,138,0.252
9,2020-03-15,NA,4939 E BUSCH BLVD,136,0.252
10,2020-03-15,NA,14864 SHADY KNOLL CT,126,0.252
1,2021-07-11,NA,2102 2 LAKES RD,56,0.349
2,2021-07-11,NA,5905 LAKES DIVIDE RD,52,0.349
3,2021-07-11,NA,122 MAROLDY DR,36,0.349
4,2021-07-11,NA,9305 TIFFANY TER,30,0.349
5,2021-07-11,NA,14511 PRISM CIR,28,0.349
6,2021-07-11,NA,6704 SHADEVILLE LN,28,0.349
7,2021-07-11,NA,13404 VILLAGE CIR,28,0.349
8,2021-07-11,NA,8340 CRYSTAL HARBOUR DR,26,0.349
9,2021-07-11,NA,11404 WARWICK POINTE DR,24,0.349
10,2021-07-11,NA,6909 SILVER RUN DR,20,0.349
