position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,NA,4228 HICKORY RD,79,0.387
2,2020-03-15,NA,207 RUE BOSSUET,66,0.387
3,2020-03-15,NA,4341 IRISH HILLS DR,65,0.387
4,2020-03-15,NA,1015 ROYAL VINEYARDS,58,0.387
5,2020-03-15,NA,1512 MARBLEHEAD DR,37,0.387
6,2020-03-15,NA,3904 COVENTRY LN,22,0.387
7,2020-03-15,NA,2469 BOW CT,19,0.387
8,2020-03-15,NA,62430 LOCUST RD,17,0.387
9,2020-03-15,NA,125 BERCADO PL,15,0.387
10,2020-03-15,NA,501 ALONZO WATSON DR,13,0.387
1,2021-07-18,NA,1001 ROYAL VINYARDS,24,0.736
2,2021-07-18,NA,4214-1A HICKORY ROAD,14,0.736
3,2021-07-18,NA,4206-3A IRISH HILLS DRIVE,11,0.736
4,2021-07-18,NA,3035 RUE MARCEAU,11,0.736
5,2021-07-18,NA,750 ISLAND VIEW LN,8,0.736
6,2021-07-18,NA,11 2ND ST N,7,0.736
7,2021-07-18,NA,515 E MONROE ST,5,0.736
8,2021-07-18,NA,1525 BURNHAM DR,5,0.736
9,2021-07-18,NA,2630 PRAIRIE AVE,3,0.736
10,2021-07-18,NA,62430 LOCUST RD,3,0.736
