position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,NA,7802 RIVER RESORT LN,124,0.229
2,2020-03-15,NA,6603 S RIVERCHASE DR,107,0.229
3,2020-03-15,NA,5510 58TH WAY N,103,0.229
4,2020-03-15,NA,5906 SANTA FE RIVER DR,94,0.229
5,2020-03-15,NA,2103 W COOL SPRINGS RD,89,0.229
6,2020-03-15,NA,1201 SEMINOLE BLVD,86,0.229
7,2020-03-15,NA,301 PALM KEY CIR,85,0.229
8,2020-03-15,NA,1265 SAND LAKE CIR,77,0.229
9,2020-03-15,NA,15453 PLANTATION OAKS DR,72,0.229
10,2020-03-15,NA,12736 N 17TH ST,69,0.229
1,2021-07-18,NA,5905 LAKES DIVIDE RD,25,0.307
2,2021-07-18,NA,5750 58TH WAY N,18,0.307
3,2021-07-18,NA,122 MAROLDY DR,18,0.307
4,2021-07-18,NA,9305 TIFFANY TER,15,0.307
5,2021-07-18,NA,14511 PRISM CIR,14,0.307
6,2021-07-18,NA,8340 CRYSTAL HARBOUR DR,13,0.307
7,2021-07-18,NA,6704 SHADEVILLE LN,13,0.307
8,2021-07-18,NA,13404 VILLAGE CIR,13,0.307
9,2021-07-18,NA,5533 110TH AVE N,11,0.307
10,2021-07-18,NA,6909 SILVER RUN DR,10,0.307
