position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,NA,1712 PINECROFT DR,244,0.47
2,2020-03-15,NA,65 CENTURY CIR,234,0.47
3,2020-03-15,NA,741 WOODRUFF RD,188,0.47
4,2020-03-15,NA,1 LAKESIDE RD,172,0.47
5,2020-03-15,NA,782 E BUTLER RD,133,0.47
6,2020-03-15,NA,299 MILLER RD,121,0.47
7,2020-03-15,NA,1201 CEDAR LANE RD,120,0.47
8,2020-03-15,NA,100 CALEDON CT,116,0.47
9,2020-03-15,NA,110 VILLAGE PARK DR,115,0.47
10,2020-03-15,NA,410 SULPHUR SPRINGS RD,111,0.47
1,2021-07-18,NA,1712 PINECROFT DR,31,0.518
2,2021-07-18,NA,782 E BUTLER RD,25,0.518
3,2021-07-18,NA,741 WOODRUFF RD,22,0.518
4,2021-07-18,NA,4001 PELHAM RD,21,0.518
5,2021-07-18,NA,2900 E NORTH ST,17,0.518
6,2021-07-18,NA,660 HALTON RD,16,0.518
7,2021-07-18,NA,1105 ARBOR CREST CT,15,0.518
8,2021-07-18,NA,815 E BUTLER RD,14,0.518
9,2021-07-18,NA,44 DIXIE CIR,14,0.518
10,2021-07-18,NA,410 SULPHUR SPRINGS RD,13,0.518
