position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,NA,1712 PINECROFT DR,240,0.466
2,2020-03-15,NA,65 CENTURY CIR,234,0.466
3,2020-03-15,NA,741 WOODRUFF RD,184,0.466
4,2020-03-15,NA,1 LAKESIDE RD,163,0.466
5,2020-03-15,NA,782 E BUTLER RD,132,0.466
6,2020-03-15,NA,1201 CEDAR LANE RD,120,0.466
7,2020-03-15,NA,299 MILLER RD,120,0.466
8,2020-03-15,NA,110 VILLAGE PARK DR,115,0.466
9,2020-03-15,NA,410 SULPHUR SPRINGS RD,111,0.466
10,2020-03-15,NA,100 CALEDON CT,109,0.466
1,2021-06-27,NA,741 WOODRUFF RD,46,0.556
2,2021-06-27,NA,1712 PINECROFT DR,30,0.556
3,2021-06-27,NA,782 E BUTLER RD,25,0.556
4,2021-06-27,NA,831 CLEVELAND ST,23,0.556
5,2021-06-27,NA,4001 PELHAM RD,22,0.556
6,2021-06-27,NA,299 MILLER RD,19,0.556
7,2021-06-27,NA,15 VILLA RD,18,0.556
8,2021-06-27,NA,288 OLD MILL RD,16,0.556
9,2021-06-27,NA,2900 E NORTH ST,15,0.556
10,2021-06-27,NA,1102 W POINSETT ST,14,0.556
