position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,TIMBERLAND STL LLC,5314 KNOLL CREEK DR,167,0.288
2,2020-03-15,"MIMG CXXV 756 OP, LLC",11142 OAK PARKWAY LN,126,0.288
3,2020-03-15,MILLS CITYVIEW LLC,110 N 17TH ST,105,0.288
4,2020-03-15,"SANSONE GROUP, LLC AS AGENT FOR SPANISH COVE TOWNHOMES",11889 IGUANA TER,103,0.288
5,2020-03-15,ARIA MISSOURI MANAGEMENT LLC,7838 RIO SILVA PL,98,0.288
6,2020-03-15,"LUCAS HUNT VILLAGE ASSOCIATES, L.P.",7318 BURRWOOD DR,85,0.288
7,2020-03-15,POLARIS MO7 LLC,11823 KINGSFONT PL,63,0.288
8,2020-03-15,MILLS CITYVIEW LLC,111 N 15TH ST,59,0.288
9,2020-03-15,CROSSING AT NORTHPOINTE,14338 SUMMERFIELD LN,56,0.288
10,2020-03-15,MILLS WEST POINTE INVESTOR 1 LLC,12581 RENAULT CT,46,0.288
1,2021-07-11,AWE BELLA VISTA LLC,11109 RIAZA SQ,22,0.389
2,2021-07-11,ARIA MISSOURI MANAGEMENT LLC,7847 TENNESSEE PL,20,0.389
3,2021-07-11,TIMBERLAND STL LLC,5361 KNOLL CREEK DR,19,0.389
4,2021-07-11,CROSSING AT NORTHPOINTE,14390 SPRINGTIME LN,18,0.389
5,2021-07-11,MILLS CITYSIDE LLC,1600 PINE ST,17,0.389
6,2021-07-11,HOME PARTNERS LLC,9640 DIAMOND DR,15,0.389
7,2021-07-11,TPAF V PELICAN COVE LLC,2140 FLORDAWN DR,13,0.389
8,2021-07-11,POLARIS MO7 LLC,11823 KINGSFONT PL,11,0.389
9,2021-07-11,FOREST PARK APARTMENTS,5453 DELMAR BLVD,11,0.389
10,2021-07-11,MILLS CITYSIDE LLC,1500 OLIVE ST,10,0.389
