position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,NA,6017 WESTLAKE NORTH DR,235,0.367
2,2020-03-15,NA,7102 KENSINGTON DR,220,0.367
3,2020-03-15,NA,6343 STOCKPORT RD,215,0.367
4,2020-03-15,NA,7144 WARRIOR TRL,193,0.367
5,2020-03-15,NA,6838 DAVID CT,186,0.367
6,2020-03-15,NA,2420 CORAL BARK PL,185,0.367
7,2020-03-15,NA,7115 ANTLER WAY,150,0.367
8,2020-03-15,NA,7204 HATTERAS LN,146,0.367
9,2020-03-15,NA,1745 CENTURY WAY,138,0.367
10,2020-03-15,NA,4133 EL LAGO CT,138,0.367
1,2021-07-11,NA,7116 FOXBOROUGH DR,49,0.423
2,2021-07-11,NA,5907 TRAFALGER LN,47,0.423
3,2021-07-11,NA,3927 DEER RDG,37,0.423
4,2021-07-11,NA,6466 WHITEHAVEN RD,29,0.423
5,2021-07-11,NA,5609 BRENDON WAY CT,29,0.423
6,2021-07-11,NA,4205 DAVID ST,26,0.423
7,2021-07-11,NA,6245 ADAMS BLVD WEST DR,23,0.423
8,2021-07-11,NA,7102 KENSINGTON DR,19,0.423
9,2021-07-11,NA,106 N MICKLEY AVE,19,0.423
10,2021-07-11,NA,2853 CLEAR LAKE WAY,19,0.423
