position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,AIY PROPERTIES INC,1808 PLEASANTDALE RD,48,0.19
2,2020-03-15,NIEDERST MANAGEMENT LTD,3328 EUCLID AVE,47,0.19
3,2020-03-15,NIEDERST MANAGEMENT LTD,2901 EUCLID AVE,46,0.19
4,2020-03-15,MIMG XXXVI WEST TECH LOFTS LLC,2201 W 93RD ST,41,0.19
5,2020-03-15,BROOKLYN GARDENS LLC,2307 FORESTDALE AVE,38,0.19
6,2020-03-15,K&D MANAGEMENT LLC,1330 WEST BLVD,32,0.19
7,2020-03-15,BANYAN LIVING OHIO LLC,12500 SHAKER BLVD,29,0.19
8,2020-03-15,WINDSOR REALTY AND MGMT INC,14592 LORAIN AVE,27,0.19
9,2020-03-15,GRANDVIEW POINTE APTS LLC,1939 GREEN RD,26,0.19
10,2020-03-15,"BURES, PAVEL",2344 PROSPECT AVE E,24,0.19
1,2021-07-18,MIMG XXXVI WEST TECH LOFTS LLC,2201 W 93RD ST,11,0.297
2,2021-07-18,AIY PROPERTIES INC,1632 PLEASANTDALE RD,10,0.297
3,2021-07-18,EMERALD DEVELOPMENT AND ECONOMIC NETWORK INC,3875 20TH ST,7,0.297
4,2021-07-18,OWNER'S MANAGEMENT COMPANY,1380 E 13TH ST,7,0.297
5,2021-07-18,HORIZONS ASSET MANAGEMENT LLC,19105 NOTTINGHAM RD,7,0.297
6,2021-07-18,K&D MANAGEMENT LLC,5225 SUPERIOR AVE,5,0.297
7,2021-07-18,THE LANDMARK COMPANIES LLC,5455 N MARGINAL RD,5,0.297
8,2021-07-18,NIEDERST MANAGEMENT LTD,3328 EUCLID AVE,4,0.297
9,2021-07-18,JC GROUP PROPERTY MANAGEMENT OH LLC,3170 W 44TH ST,3,0.297
10,2021-07-18,K&D MANAGEMENT LLC,1330 WEST BLVD,3,0.297
