position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,NA,4214-1A HICKORY ROAD,78,0.384
2,2020-03-15,NA,207 RUE BOSSUET,66,0.384
3,2020-03-15,NA,4206-1C IRISH HILLS DRIVE,65,0.384
4,2020-03-15,NA,1015 ROYAL VINEYARDS,57,0.384
5,2020-03-15,NA,1512 MARBLEHEAD DR,37,0.384
6,2020-03-15,NA,3904 COVENTRY LN,21,0.384
7,2020-03-15,NA,2469 BOW CT,19,0.384
8,2020-03-15,NA,62430 LOCUST RD,15,0.384
9,2020-03-15,NA,125 BERCADO PL,14,0.384
10,2020-03-15,NA,501 ALONZO WATSON DR,13,0.384
1,2021-07-11,NA,1001 ROYAL VINYARDS,23,0.703
2,2021-07-11,NA,4206-3A IRISH HILLS DRIVE,14,0.703
3,2021-07-11,NA,4214-1A HICKORY ROAD,13,0.703
4,2021-07-11,NA,3035 RUE MARCEAU,11,0.703
5,2021-07-11,NA,11 2ND ST N,7,0.703
6,2021-07-11,NA,515 E MONROE ST,5,0.703
7,2021-07-11,NA,1525 BURNHAM DR,5,0.703
8,2021-07-11,NA,2630 PRAIRIE AVE,3,0.703
9,2021-07-11,NA,4310 3RD ST,3,0.703
10,2021-07-11,NA,101 PIN OAK DR S,3,0.703
