position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,NA,1712 PINECROFT DR,243,0.474
2,2020-03-15,NA,65 CENTURY CIR,234,0.474
3,2020-03-15,NA,741 WOODRUFF RD,186,0.474
4,2020-03-15,NA,1 LAKESIDE RD,165,0.474
5,2020-03-15,NA,782 E BUTLER RD,133,0.474
6,2020-03-15,NA,299 MILLER RD,121,0.474
7,2020-03-15,NA,1201 CEDAR LANE RD,120,0.474
8,2020-03-15,NA,110 VILLAGE PARK DR,115,0.474
9,2020-03-15,NA,100 CALEDON CT,114,0.474
10,2020-03-15,NA,410 SULPHUR SPRINGS RD,111,0.474
1,2021-07-04,NA,741 WOODRUFF RD,48,0.562
2,2021-07-04,NA,1712 PINECROFT DR,30,0.562
3,2021-07-04,NA,782 E BUTLER RD,25,0.562
4,2021-07-04,NA,831 CLEVELAND ST,23,0.562
5,2021-07-04,NA,4001 PELHAM RD,21,0.562
6,2021-07-04,NA,299 MILLER RD,19,0.562
7,2021-07-04,NA,15 VILLA RD,18,0.562
8,2021-07-04,NA,288 OLD MILL RD,17,0.562
9,2021-07-04,NA,1105 ARBOR CREST CT,15,0.562
10,2021-07-04,NA,2900 E NORTH ST,15,0.562
