position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,TIMBERLAND STL LLC,5314 KNOLL CREEK DR,162,0.286
2,2020-03-15,"MIMG CXXV 756 OP, LLC",11142 OAK PARKWAY LN,118,0.286
3,2020-03-15,MILLS CITYVIEW LLC,110 N 17TH ST,105,0.286
4,2020-03-15,"SANSONE GROUP, LLC AS AGENT FOR SPANISH COVE TOWNHOMES",11889 IGUANA TER,103,0.286
5,2020-03-15,ARIA MISSOURI MANAGEMENT LLC,7838 RIO SILVA PL,97,0.286
6,2020-03-15,"LUCAS HUNT VILLAGE ASSOCIATES, L.P.",7318 BURRWOOD DR,85,0.286
7,2020-03-15,POLARIS MO7 LLC,11823 KINGSFONT PL,61,0.286
8,2020-03-15,MILLS CITYVIEW LLC,111 N 15TH ST,59,0.286
9,2020-03-15,CROSSING AT NORTHPOINTE,14338 SUMMERFIELD LN,56,0.286
10,2020-03-15,MILLS WEST POINTE INVESTOR 1 LLC,12581 RENAULT CT,46,0.286
1,2021-07-11,ARIA MISSOURI MANAGEMENT LLC,7847 TENNESSEE PL,19,0.393
2,2021-07-11,CROSSING AT NORTHPOINTE,14390 SPRINGTIME LN,18,0.393
3,2021-07-11,MILLS CITYSIDE LLC,1600 PINE ST,17,0.393
4,2021-07-11,TIMBERLAND STL LLC,5361 KNOLL CREEK DR,14,0.393
5,2021-07-11,AWE BELLA VISTA LLC,11229 RUESTA DR,14,0.393
6,2021-07-11,MILLS CITYSIDE LLC,1500 OLIVE ST,10,0.393
7,2021-07-11,PMR COMPANIES LLC,4655 GRINSTEAD CT,10,0.393
8,2021-07-11,POLARIS MO7 LLC,11823 KINGSFONT PL,9,0.393
9,2021-07-11,TPAF V PELICAN COVE LLC,2140 FLORDAWN DR,8,0.393
10,2021-07-11,"PLEASANT VIEW GARDENS, LLC",2935 CADDIEFIELD RD,8,0.393
