position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,NA,7102 KENSINGTON DR,236,0.366
2,2020-03-15,NA,6017 WESTLAKE NORTH DR,235,0.366
3,2020-03-15,NA,6343 STOCKPORT RD,217,0.366
4,2020-03-15,NA,7144 WARRIOR TRL,194,0.366
5,2020-03-15,NA,6838 DAVID CT,186,0.366
6,2020-03-15,NA,2420 CORAL BARK PL,185,0.366
7,2020-03-15,NA,7115 ANTLER WAY,152,0.366
8,2020-03-15,NA,7204 HATTERAS LN,148,0.366
9,2020-03-15,NA,4133 EL LAGO CT,141,0.366
10,2020-03-15,NA,1745 CENTURY WAY,138,0.366
1,2021-07-18,NA,7116 FOXBOROUGH DR,49,0.424
2,2021-07-18,NA,5907 TRAFALGER LN,47,0.424
3,2021-07-18,NA,3927 DEER RDG,39,0.424
4,2021-07-18,NA,7105 TWIN OAKS DR,35,0.424
5,2021-07-18,NA,6466 WHITEHAVEN RD,31,0.424
6,2021-07-18,NA,4205 DAVID ST,26,0.424
7,2021-07-18,NA,6245 ADAMS BLVD WEST DR,23,0.424
8,2021-07-18,NA,2853 CLEAR LAKE WAY,22,0.424
9,2021-07-18,NA,7202 HATTERAS LN,20,0.424
10,2021-07-18,NA,106 N MICKLEY AVE,19,0.424
